Make,Model,Year,Kilometer,Color,Owner,Length,Width,Height,Seating Capacity,Fuel Tank Capacity,Price
Hyundai,Eon Era +,2018,51000,White,First,3495.0,1550.0,1500.0,5.0,32.0,300000
Maruti Suzuki,Alto VXi (O) [2014-2019],2011,72000,Silver,First,3545.0,1490.0,1475.0,5.0,35.0,160000
Maruti Suzuki,Alto LXi BS-III,2011,65000,White,First,3495.0,1475.0,1460.0,5.0,35.0,150000
Mercedes-Benz,GLE 300d 4MATIC LWB,2020,50000,White,First,4924.0,2157.0,1772.0,5.0,93.0,8300000
Audi,Q3 35 TDI Premium + Sunroof,2016,80251,Blue,Second,4385.0,1831.0,1608.0,5.0,64.0,1685000
Hyundai,i10 Sportz 1.2,2010,86000,Grey,Second,3565.0,1595.0,1550.0,5.0,35.0,270000
Maruti Suzuki,Alto 800 Lxi,2014,42505,Red,First,3395.0,1490.0,1475.0,5.0,35.0,210000
Hyundai,Elite i20 Asta 1.2,2017,42000,Silver,First,3985.0,1734.0,1505.0,5.0,45.0,625000
BMW,7-Series 730Ld M Sport,2017,42200,Black,First,5219.0,1902.0,1481.0,4.0,78.0,6900000
Kia,Seltos GTX Plus AT 1.4 [2019-2020],2019,57600,White,First,4315.0,1800.0,1645.0,5.0,50.0,1490000
Mahindra,XUV500 W7 [2018-2020],2018,57000,Black,First,4585.0,1890.0,1785.0,7.0,70.0,1095000
Ford,Endeavour 3.0L 4x4 AT,2014,85000,Black,First,5060.0,1788.0,1826.0,7.0,71.0,850000
Hyundai,Tucson 2WD AT GLS Diesel,2016,128000,White,Second,4475.0,1850.0,1660.0,5.0,62.0,1600000
Toyota,Etios V,2011,66000,Black,First,4265.0,1695.0,1510.0,5.0,45.0,265000
Volkswagen,Vento Comfortline Petrol,2013,58000,Bronze,First,4384.0,1699.0,1466.0,5.0,55.0,360000
Maruti Suzuki,Ritz Vdi BS-IV,2012,89445,Grey,First,3715.0,1680.0,1620.0,5.0,43.0,350000
Toyota,Fortuner 3.0 4x2 MT,2015,64120,White,Second,4705.0,1840.0,1850.0,7.0,80.0,1485000
Maruti Suzuki,Ciaz Alpha 1.4 MT,2017,82300,White,First,4490.0,1730.0,1485.0,5.0,43.0,800000
Maruti Suzuki,Vitara Brezza VDi,2017,73000,White,First,3995.0,1790.0,1640.0,5.0,48.0,710000
Maruti Suzuki,S-Cross Alpha 1.6,2018,72000,Blue,First,4300.0,1765.0,1590.0,5.0,48.0,710000
Volkswagen,Polo Highline1.0L (P),2018,50197,Grey,First,3971.0,1682.0,1469.0,5.0,45.0,720000
Honda,Amaze 1.2 S i-VTEC,2014,44527,Brown,First,3990.0,1680.0,1505.0,5.0,35.0,395000
Audi,A4 35 TDI Technology,2017,72400,White,First,4726.0,1842.0,1427.0,5.0,54.0,2799000
Ford,Ecosport Trend 1.5 Ti-VCT,2014,50000,White,Second,3999.0,1765.0,1708.0,5.0,52.0,455000
Honda,City VX (O) MT,2014,37000,White,First,4440.0,1695.0,1495.0,5.0,40.0,690000
Mercedes-Benz,GLS 400d 4MATIC,2021,20000,Blue,First,5207.0,2157.0,1823.0,7.0,90.0,13000000
Tata,Harrier XZA Plus Dark Edition,2020,8000,Black,First,4598.0,1894.0,1706.0,5.0,50.0,1995000
BMW,5-Series 520d Luxury Line,2014,69000,White,Second,4899.0,2094.0,1464.0,5.0,65.0,1750000
BMW,X1 sDrive20d xLine,2019,25000,White,First,4454.0,2044.0,1545.0,5.0,63.0,2900000
BMW,X1 sDrive20d xLine,2022,17000,White,First,4454.0,2044.0,1545.0,5.0,63.0,4500000
Honda,City 1.5 S MT,2013,61000,Maroon,First,4440.0,1695.0,1485.0,5.0,42.0,450000
BMW,5-Series 520d Luxury Line [2017-2019],2015,69000,Silver,First,4936.0,1868.0,1479.0,5.0,65.0,2149000
Mercedes-Benz,GL-Class 350 CDI,2015,77000,Black,Second,5120.0,1934.0,1850.0,7.0,100.0,4200000
Tata,Nexon XT Diesel [2017-2019],2018,82200,Grey,First,3994.0,1811.0,1607.0,5.0,44.0,860000
Honda,City V,2018,28000,Silver,First,4440.0,1695.0,1495.0,5.0,40.0,875000
Mahindra,Scorpio VLX 4WD BS-III,2011,117000,White,Second,4430.0,1817.0,1975.0,7.0,60.0,580000
MG,Gloster Savvy 6 STR 2.0 Twin Turbo 4WD,2021,7900,Black,First,4985.0,1926.0,1867.0,6.0,75.0,3500000
Maruti Suzuki,Swift DZire VXi,2010,72000,Silver,First,4160.0,1690.0,1530.0,5.0,43.0,229999
Audi,Q3 2.0 TDI quattro Premium Plus,2015,79000,Blue,Second,4385.0,1831.0,1608.0,5.0,64.0,1513000
Maruti Suzuki,Alto VXi,2013,72600,White,First,3620.0,1475.0,1460.0,5.0,35.0,234000
Datsun,Redigo S 1.0 AMT [2018-2019],2018,42313,Grey,Second,3429.0,1560.0,1541.0,5.0,28.0,320000
BMW,X3 xDrive 20d Luxury Line [2018-2020],2021,18000,White,First,4657.0,1881.0,1678.0,5.0,67.0,5975000
Maruti Suzuki,Vitara Brezza ZDi Plus,2019,90000,White,First,3995.0,1790.0,1640.0,5.0,48.0,1025000
Maruti Suzuki,Alto LXi BS-III,2010,18500,Gold,First,3495.0,1475.0,1460.0,5.0,35.0,169000
Maruti Suzuki,DZire VDi,2017,36000,Blue,First,3995.0,1735.0,1515.0,5.0,37.0,630000
Hyundai,Venue SX Plus 1.0 Turbo DCT,2020,26200,White,First,3995.0,1770.0,1605.0,5.0,45.0,1090000
Maruti Suzuki,Swift LXi Special Edition,2019,11000,Silver,Second,3840.0,1735.0,1530.0,5.0,37.0,700000
Maruti Suzuki,Swift VXi,2021,14366,Others,First,3845.0,1735.0,1530.0,5.0,37.0,661000
Tata,Grande GX,2011,98000,Silver,First,4421.0,1780.0,1940.0,7.0,65.0,250999
Mahindra,TUV300 T8,2017,65000,Red,Second,3995.0,1835.0,1839.0,7.0,60.0,565000
Toyota,Innova 2.5 G 7 STR BS-IV,2014,126000,Silver,First,4585.0,1760.0,1760.0,7.0,55.0,750000
Audi,Q3 35 TDI Premium + Sunroof,2015,71700,White,Second,4385.0,1831.0,1608.0,5.0,64.0,1850000
Mahindra,XUV500 W6,2016,114000,White,First,4585.0,1890.0,1785.0,7.0,70.0,850000
Hyundai,Elite i20 Asta 1.4 CRDI [2016-2017],2016,58339,Grey,First,3985.0,1734.0,1505.0,5.0,45.0,535000
Maruti Suzuki,DZire VDi AMT,2019,72040,Silver,First,3995.0,1735.0,1515.0,5.0,37.0,770000
BMW,3-Series 330i M Sport Edition,2019,6000,White,First,4633.0,1811.0,1429.0,5.0,57.0,3650000
Kia,Sonet GTX Plus 1.0 iMT [2020-2021],2022,6200,Red,First,3995.0,1790.0,1647.0,5.0,45.0,1195000
Mercedes-Benz,S-Class 500L,2012,44000,Silver,Third,5226.0,2120.0,1479.0,5.0,90.0,1650000
Skoda,Superb L&K TSI AT,2021,6900,Brown,First,4861.0,1864.0,1483.0,5.0,66.0,3199000
Mercedes-Benz,E-Class E 200 Exclusive [2019-2019],2022,2500,Grey,First,5063.0,1860.0,1494.0,5.0,80.0,7100000
Volkswagen,Polo GT TSI,2016,68000,White,First,3971.0,1682.0,1469.0,5.0,45.0,625000
Maruti Suzuki,Vitara Brezza VDi,2018,36000,White,First,3995.0,1790.0,1640.0,5.0,48.0,745000
Hyundai,Santro Sportz,2021,19000,White,First,3610.0,1645.0,1560.0,5.0,35.0,551000
Mercedes-Benz,E-Class E 220 d Avantgarde,2019,10000,White,First,5063.0,1860.0,1494.0,5.0,80.0,5950000
Land Rover,Range Rover 3.0 V6 Diesel Vogue,2019,35000,Blue,First,4999.0,2220.0,1835.0,5.0,105.0,22000000
MINI,Cooper D 3 Door,2019,6400,Red,First,3821.0,1727.0,1414.0,5.0,44.0,3300000
Ford,Endeavour Titanium Plus 3.2 4x4 AT,2019,34000,White,First,4903.0,1869.0,1837.0,7.0,80.0,3250000
Renault,Duster 110 PS RXZ 4X2 AMT Diesel,2016,35000,Grey,Second,4315.0,1822.0,1695.0,5.0,50.0,690000
Maruti Suzuki,Vitara Brezza VDi AGS,2019,46000,White,First,3995.0,1790.0,1640.0,5.0,48.0,894999
Skoda,Rapid Ambition 1.6 TDI CR MT,2016,83000,White,First,4386.0,1699.0,1466.0,5.0,55.0,550000
Ford,Ecosport Trend 1.5 TDCi,2013,54000,Orange,Third,3999.0,1765.0,1708.0,5.0,52.0,399000
Kia,Seltos HTX 1.5 [2020-2021],2020,42000,Black,First,4315.0,1800.0,1645.0,5.0,50.0,1275000
Maruti Suzuki,Eeco 5 STR WITH A/C+HTR [2019-2020],2020,41441,Silver,First,3675.0,1475.0,1800.0,5.0,40.0,535000
Maruti Suzuki,Vitara Brezza VDi,2018,48174,White,First,3995.0,1790.0,1640.0,5.0,48.0,825000
Ford,Ecosport Ambiente 1.5L TDCi,2016,62591,Silver,First,3998.0,1765.0,1647.0,5.0,52.0,585000
Honda,Jazz V AT Petrol,2017,48650,Brown,First,3955.0,1694.0,1544.0,5.0,40.0,675000
Maruti Suzuki,S-Cross Alpha 1.3,2017,52245,Brown,First,4300.0,1785.0,1595.0,5.0,48.0,795000
Mercedes-Benz,E-Class E 200 Exclusive [2019-2019],2021,7500,Black,First,5063.0,1860.0,1494.0,5.0,80.0,6500000
Hyundai,Elite i20 Sportz 1.4 CRDI,2017,65000,White,First,3985.0,1734.0,1505.0,5.0,45.0,611000
Maruti Suzuki,Wagon R VXI,2015,43297,Red,First,3599.0,1495.0,1700.0,5.0,35.0,390000
Maruti Suzuki,Swift VXi [2014-2017],2019,44710,White,First,3850.0,1695.0,1530.0,5.0,42.0,650000
Renault,Fluence 1.5 E4,2013,62000,Silver,First,4618.0,1813.0,1488.0,5.0,67.0,390000
Audi,A4 35 TDI Technology,2017,59267,Silver,First,4726.0,1842.0,1427.0,5.0,54.0,2400000
Maruti Suzuki,Swift VXi,2011,69000,Silver,First,3850.0,1695.0,1530.0,5.0,42.0,385000
Maruti Suzuki,Swift DZire VXI,2017,75000,White,First,3995.0,1695.0,1555.0,5.0,42.0,450000
Hyundai,Grand i10 Sports Edition 1.2L Kappa VTVT,2020,52236,Silver,First,3765.0,1660.0,1520.0,5.0,43.0,649000
Skoda,Kodiaq L&K 2.0 TDI 4x4 AT,2020,47000,White,First,4697.0,1882.0,1665.0,7.0,63.0,3499000
Audi,A3 35 TDI Premium + Sunroof,2019,15530,White,First,4456.0,1796.0,1416.0,5.0,50.0,2900000
Maruti Suzuki,Swift DZire VDI,2014,64000,White,First,3995.0,1695.0,1555.0,5.0,42.0,400000
Hyundai,Grand i10 NIOS Sportz AMT 1.2 Kappa VTVT,2020,35000,Silver,First,3805.0,1680.0,1520.0,5.0,37.0,599000
Toyota,Fortuner 2.8 4x2 MT [2016-2020],2019,92000,Black,First,4795.0,1855.0,1835.0,7.0,80.0,2980000
Audi,A4 30 TFSI Technology Pack,2018,18000,White,First,4726.0,1842.0,1427.0,5.0,54.0,3500000
Honda,Jazz V Petrol,2016,50000,Red,First,3955.0,1694.0,1544.0,5.0,40.0,400000
Mercedes-Benz,GLC 200 Progressive,2022,2000,White,First,4658.0,1890.0,1644.0,5.0,66.0,6975000
Mercedes-Benz,GLE 250 d,2016,16000,White,First,4819.0,2141.0,1796.0,5.0,93.0,5400000
Mercedes-Benz,GL-Class 350 CDI,2015,103890,Black,Second,5120.0,1934.0,1850.0,7.0,100.0,3700000
Maruti Suzuki,Celerio ZXi [2017-2019],2018,71000,White,First,3600.0,1600.0,1560.0,5.0,35.0,445000
Mahindra,Thar LX 4-STR Hard Top Diesel MT,2021,12000,Red,First,3985.0,1820.0,1844.0,4.0,57.0,1475000
Toyota,Fortuner 2.8 4x2 AT [2016-2020],2016,93000,White,First,4795.0,1855.0,1835.0,7.0,80.0,2800000
Hyundai,Eon Magna [2011-2012],2013,63000,White,Second,3495.0,1550.0,1500.0,5.0,32.0,190000
Maruti Suzuki,Swift VXi [2014-2017],2020,10000,White,First,3850.0,1695.0,1530.0,5.0,42.0,600000
Kia,Seltos GTX Plus AT 1.5 Diesel [2019-2020],2020,33828,White,First,4315.0,1800.0,1645.0,5.0,50.0,1835000
Maruti Suzuki,Wagon R LXi 1.0 CNG [2019-2020],2019,48000,Silver,First,3655.0,1620.0,1675.0,5.0,60.0,550000
Maruti Suzuki,Vitara Brezza ZDi+ Dual Tone [2017-2018],2017,71000,Red,First,3995.0,1790.0,1640.0,5.0,48.0,715000
Mahindra,XUV700 AX 7 Diesel AT 7 STR,2022,18000,White,First,4695.0,1890.0,1755.0,7.0,60.0,2540000
Maruti Suzuki,Wagon R LXi (O) 1.0 CNG [2019-2020],2019,50000,Grey,First,3655.0,1620.0,1675.0,5.0,60.0,525000
Hyundai,Grand i10 Sportz (O) 1.2 Kappa VTVT [2017-2018],2015,48000,Silver,First,3765.0,1660.0,1520.0,5.0,43.0,425000
Hyundai,Elite i20 Sportz 1.2 IVT,2022,4000,White,First,3995.0,1775.0,1505.0,5.0,37.0,795000
Honda,City 1.5 V MT,2010,73000,Silver,Second,4420.0,1695.0,1480.0,5.0,42.0,269000
Toyota,Fortuner 4x2 AT,2013,170669,White,First,4705.0,1840.0,1850.0,7.0,80.0,1450000
Hyundai,Verna Fluidic 1.6 CRDi,2014,68000,White,First,4370.0,1700.0,1475.0,5.0,43.0,565000
BMW,5-Series 520d Luxury Line,2015,70000,Blue,Second,4899.0,2094.0,1464.0,5.0,65.0,2550000
Hyundai,i20 Active 1.2 S,2015,57654,White,First,3995.0,1760.0,1555.0,5.0,45.0,529000
Maruti Suzuki,Alto VXi (O),2019,22000,White,First,3545.0,1490.0,1475.0,5.0,35.0,400000
Maruti Suzuki,XL6 Zeta MT Petrol,2019,41792,Blue,First,4445.0,1775.0,1700.0,6.0,45.0,975000
BMW,X1 sDrive20d Expedition,2017,41000,Blue,First,4439.0,1821.0,1612.0,5.0,51.0,2600000
Mercedes-Benz,GL-Class 350 CDI,2013,107021,White,Second,5120.0,1934.0,1850.0,7.0,100.0,2390000
Kia,Seltos GTX Plus 1.4 [2020-2021],2019,17000,White,First,4315.0,1800.0,1645.0,5.0,50.0,1550000
Maruti Suzuki,Alto VXi AMT,2019,57993,White,First,3545.0,1490.0,1475.0,5.0,35.0,430000
Maruti Suzuki,Baleno Delta 1.2,2018,32000,Silver,First,3995.0,1745.0,1500.0,5.0,37.0,600000
Toyota,Corolla Altis VL AT Petrol,2018,25914,Brown,First,4620.0,1775.0,1475.0,5.0,55.0,1650000
Audi,Q7 Technology 55 TFSI,2022,4500,Black,First,5064.0,1970.0,1703.0,7.0,85.0,9400000
Maruti Suzuki,Alto VXi,2014,114000,White,Second,3620.0,1475.0,1460.0,5.0,35.0,250000
Mahindra,XUV500 W10 AT,2016,105000,Grey,Second,4585.0,1890.0,1785.0,7.0,70.0,994999
Maruti Suzuki,Vitara Brezza LDi (O) [2016-2018],2016,45000,Red,First,3995.0,1790.0,1640.0,5.0,48.0,675000
Maruti Suzuki,Swift DZire VXI,2014,30183,Grey,First,3995.0,1695.0,1555.0,5.0,42.0,455000
Maruti Suzuki,Wagon R VXI,2016,73190,Grey,Second,3599.0,1495.0,1700.0,5.0,35.0,345000
BMW,X1 sDrive20i xLine,2022,13120,White,First,4447.0,1821.0,1598.0,5.0,51.0,4700000
Hyundai,Elantra 1.8 SX MT,2014,64000,White,First,4530.0,1775.0,1470.0,5.0,56.0,700000
Honda,City E Diesel,2014,140000,White,First,4440.0,1695.0,1495.0,5.0,40.0,499000
Maruti Suzuki,Ciaz VXi,2015,39000,White,First,4490.0,1730.0,1485.0,5.0,43.0,590000
Nissan,Micra XV CVT [2016-2017],2014,56918,Blue,Second,3825.0,1665.0,1530.0,5.0,41.0,490000
Maruti Suzuki,DZire VDi AMT,2018,55000,Grey,First,3995.0,1735.0,1515.0,5.0,37.0,695000
Hyundai,Venue SX 1.4 CRDi,2019,42000,Silver,First,3995.0,1770.0,1605.0,5.0,45.0,1025000
Volkswagen,Tiguan AllSpace 2.0 TSI,2021,25000,Silver,First,4701.0,1839.0,1674.0,7.0,60.0,3375000
Toyota,Innova 2.4 VX 8 STR [2016-2020],2019,28000,Maroon,First,4735.0,1830.0,1795.0,8.0,55.0,2250000
Mercedes-Benz,GLA 200 d Sport,2018,43000,Grey,Second,4424.0,1804.0,1494.0,5.0,50.0,2650000
Maruti Suzuki,Baleno Delta 1.2,2021,16000,Grey,First,3995.0,1745.0,1500.0,5.0,37.0,715000
Hyundai,Creta SX 1.6 AT CRDi,2019,27657,Grey,Second,4270.0,1780.0,1665.0,5.0,55.0,1200000
Hyundai,Eon 1.0 Kappa Magna + [2014-2016],2012,30000,White,First,3515.0,1500.0,1510.0,5.0,32.0,275000
Honda,City 1.5 V MT,2012,111000,Red,First,4440.0,1695.0,1485.0,5.0,42.0,445000
Mercedes-Benz,A-Class A 200d,2016,37600,Red,First,4299.0,1780.0,1433.0,4.0,50.0,1850000
Maruti Suzuki,Baleno Alpha 1.3,2017,48000,Blue,First,3995.0,1745.0,1500.0,5.0,37.0,665000
Hyundai,Creta EX 1.4 CRDi,2019,37000,Blue,First,4270.0,1780.0,1665.0,5.0,55.0,1090000
Mercedes-Benz,S-Class S 350 CDI,2015,54000,White,First,5246.0,1899.0,1494.0,5.0,70.0,5500000
Audi,A6 35 TDI Matrix,2017,81802,Blue,Second,4933.0,1874.0,1455.0,5.0,75.0,2400000
Hyundai,Verna SX Plus 1.6 CRDi AT,2018,45915,Black,First,4440.0,1729.0,1475.0,5.0,45.0,1085000
Hyundai,Alcazar Signature (O) 6 STR 2.0 Petrol AT,2021,24000,Grey,First,4500.0,1790.0,1675.0,6.0,50.0,2140000
Honda,Amaze 1.2 V CVT Petrol [2018-2020],2019,22224,Grey,First,3995.0,1695.0,1501.0,5.0,35.0,795000
Maruti Suzuki,Ertiga VXI CNG,2021,38000,White,First,4296.0,1695.0,1685.0,7.0,45.0,1080000
Honda,Amaze 1.2 S MT Petrol [2018-2020],2018,53848,Maroon,First,3995.0,1695.0,1501.0,5.0,35.0,628000
BMW,3-Series 320d Luxury Line,2013,104264,Red,Second,4633.0,1811.0,1429.0,5.0,57.0,1550000
Mercedes-Benz,E-Class E 200,2016,61159,Black,Second,4879.0,1854.0,1474.0,5.0,80.0,2400000
Honda,City VX (O) MT,2015,72000,Brown,First,4440.0,1695.0,1495.0,5.0,40.0,595000
Land Rover,Evoque SE,2016,29000,Blue,First,4465.0,1900.0,1635.0,5.0,57.0,3450000
Honda,WR-V VX MT Petrol,2018,42000,Maroon,First,3999.0,1734.0,1601.0,5.0,40.0,819999
Audi,Q5 2.0 TDI quattro Premium Plus,2012,40000,Black,First,4629.0,1898.0,1653.0,5.0,75.0,1490000
Mahindra,XUV300 1.5 W6 [2019-2020],2020,57400,White,First,3995.0,1821.0,1627.0,5.0,42.0,950000
Jaguar,XF Prestige Diesel CBU,2019,13500,Silver,Second,5067.0,2091.0,1457.0,5.0,66.0,3750000
Mercedes-Benz,C-Class C200 Progressive,2021,12400,Blue,First,4686.0,1810.0,1442.0,5.0,66.0,4950000
Jeep,Compass Model S (O) Diesel 4x4 AT,2021,38000,White,First,4405.0,1818.0,1640.0,5.0,60.0,2950000
MG,Hector Sharp 1.5 DCT Petrol [2019-2020],2019,7000,Red,First,4655.0,1835.0,1760.0,5.0,60.0,1625000
Toyota,Fortuner 3.0 4x4 MT,2012,121000,Gold,Second,4705.0,1840.0,1850.0,7.0,80.0,1290000
Toyota,Etios Liva GD,2015,76000,White,First,3775.0,1695.0,1510.0,5.0,45.0,625000
Mahindra,XUV500 W10,2018,50000,Maroon,First,4585.0,1890.0,1785.0,7.0,70.0,1490000
Hyundai,i10 Asta 1.2 AT with Sunroof,2013,46721,Silver,Second,3565.0,1595.0,1550.0,5.0,35.0,325000
Mahindra,XUV500 W10 AT,2017,41470,Black,First,4585.0,1890.0,1785.0,7.0,70.0,1190000
Mahindra,Scorpio VLX 2WD Airbag BS-IV,2013,170000,White,Third,4430.0,1817.0,1975.0,8.0,60.0,625000
Land Rover,Range Rover Sport SDV6 HSE,2014,80000,White,Second,4879.0,2073.0,1780.0,5.0,77.0,5375000
Honda,City ZX CVT Petrol [2017-2019],2018,6000,Silver,First,4440.0,1695.0,1495.0,5.0,40.0,1138000
Audi,A4 1.8 TFSI Multitronic Premium Plus,2021,17000,White,First,4701.0,1826.0,1427.0,5.0,63.0,4250000
Honda,Brio S MT,2014,31000,White,First,3610.0,1680.0,1500.0,5.0,35.0,365000
Chevrolet,Cruze LTZ AT,2014,73265,White,Second,4597.0,1788.0,1477.0,5.0,60.0,475000
Hyundai,Creta SX 1.6 CRDi,2019,47000,White,First,4270.0,1780.0,1665.0,5.0,55.0,1225000
Maruti Suzuki,Ertiga VDI SHVS,2017,42000,White,First,4296.0,1695.0,1685.0,7.0,45.0,725000
Mercedes-Benz,GLA 200 CDI Sport,2017,25000,White,Second,4417.0,1804.0,1494.0,5.0,50.0,2450000
Hyundai,Sonata 2.0 CRDi,2009,140000,Silver,Third,4800.0,1832.0,1485.0,5.0,70.0,225000
Maruti Suzuki,DZire VXi AMT,2018,68818,Silver,First,3995.0,1735.0,1515.0,5.0,37.0,695000
Toyota,Innova 2.8 ZX AT 7 STR [2016-2020],2018,57000,Grey,First,4735.0,1830.0,1795.0,7.0,55.0,2200000
Honda,Amaze 1.5 VX CVT Diesel,2020,39000,White,First,3995.0,1695.0,1501.0,5.0,35.0,950000
Toyota,Innova ZX 2.7 AT 7 STR,2022,12050,Black,First,4735.0,1830.0,1795.0,7.0,65.0,2598000
Honda,Jazz VX Petrol,2017,24100,Silver,First,3955.0,1694.0,1544.0,5.0,40.0,585000
Ford,Aspire Titanium 1.2 Ti-VCT,2017,23000,White,First,3995.0,1695.0,1525.0,5.0,42.0,434999
Maruti Suzuki,Swift VDi,2009,185000,Grey,First,3760.0,1690.0,1530.0,5.0,43.0,295000
Maruti Suzuki,Ciaz Delta 1.5 Diesel,2019,76000,White,First,4490.0,1730.0,1485.0,5.0,43.0,910000
Maruti Suzuki,Celerio VXi,2020,47000,White,First,3695.0,1600.0,1560.0,5.0,35.0,565000
Toyota,Urban Cruiser Premium Grade AT,2021,1910,White,First,3995.0,1790.0,1640.0,5.0,48.0,1050000
Hyundai,Creta E Plus 1.4 CRDI,2019,23000,Orange,First,4270.0,1780.0,1630.0,5.0,60.0,990000
Audi,A3 35 TDI Premium Plus,2020,36978,Blue,Second,4456.0,1796.0,1416.0,5.0,50.0,2590000
Mahindra,XUV500 W8 AWD [2015-2017],2016,33000,White,First,4585.0,1890.0,1785.0,7.0,70.0,1000000
Hyundai,i10 1.1L iRDE ERA Special Edition,2012,18954,White,First,3585.0,1595.0,1550.0,5.0,35.0,254999
Hyundai,Verna Fluidic 1.6 VTVT SX AT,2015,58200,Silver,First,4370.0,1700.0,1475.0,5.0,43.0,598000
Hyundai,Elite i20 Asta 1.4 (O) CRDi,2016,80000,White,Second,3985.0,1734.0,1505.0,5.0,40.0,560000
Audi,A4 2.0 TDI (177bhp) Premium,2011,75000,Silver,First,4701.0,1826.0,1427.0,5.0,63.0,975000
Audi,A3 35 TDI Premium,2017,64000,Blue,First,4456.0,1796.0,1416.0,5.0,50.0,2600000
Skoda,Rapid Ambition 1.6 TDI CR MT,2016,117048,Silver,First,4386.0,1699.0,1466.0,5.0,55.0,745000
Hyundai,Grand i10 Asta 1.2 Kappa VTVT,2017,47000,Silver,First,3765.0,1660.0,1520.0,5.0,43.0,495000
Audi,A3 40 TFSI Premium Plus + sunroof,2018,43290,Blue,First,4456.0,1796.0,1416.0,5.0,50.0,2450000
Mercedes-Benz,C-Class C 220 CDI Avantgarde,2016,7000,White,First,4686.0,1810.0,1442.0,5.0,66.0,2850000
Mahindra,Scorpio S10,2016,150000,White,First,4456.0,1820.0,1995.0,8.0,60.0,925000
Toyota,Fortuner 3.0 4x2 AT,2013,125000,White,First,4705.0,1840.0,1850.0,7.0,80.0,1075000
Mercedes-Benz,E-Class E 350 d Exclusive [2017-2019],2019,42079,Silver,First,5063.0,1860.0,1494.0,5.0,80.0,6225000
Audi,A6 2.0 TDI Premium,2014,69000,Blue,First,4915.0,1874.0,1455.0,5.0,65.0,1500000
Mitsubishi,Pajero SFX 2.8,2011,40000,White,Second,4755.0,1775.0,1900.0,5.0,92.0,625000
Toyota,Etios G,2011,101347,Red,Third,4265.0,1695.0,1510.0,5.0,45.0,325000
Mahindra,Marazzo M6 Plus 8 STR,2021,36700,White,First,4585.0,1866.0,1774.0,8.0,45.0,1485000
Audi,A6 3.0 TDI quattro Premium,2012,240000,White,First,4915.0,1874.0,1455.0,5.0,75.0,1650000
Audi,A3 35 TDI Premium,2014,76529,Blue,First,4456.0,1796.0,1416.0,5.0,50.0,1800000
Toyota,Innova 2.5 VX 7 STR BS-III,2014,85000,Silver,Second,4585.0,1760.0,1760.0,7.0,55.0,1290000
Nissan,Terrano XL D Plus,2016,99000,White,First,4331.0,1822.0,1671.0,5.0,50.0,600000
Hyundai,Grand i10 Asta AT 1.2 Kappa VTVT [2013-2016],2014,37959,White,Second,3765.0,1660.0,1520.0,5.0,43.0,436000
Toyota,Fortuner 2.8 4x4 AT [2016-2020],2021,60000,White,First,4795.0,1855.0,1835.0,7.0,80.0,4300000
Datsun,Go T (O),2017,27000,Silver,First,3785.0,1635.0,1485.0,5.0,35.0,270000
Chevrolet,Cruze LTZ,2011,75000,Purple,Second,4597.0,1788.0,1477.0,5.0,60.0,320000
Hyundai,Creta SX 1.4 Turbo 7 DCT,2022,1300,Black,First,4300.0,1790.0,1635.0,5.0,50.0,1911000
BMW,X5 xDrive30d xLine,2020,21696,Blue,First,4922.0,2004.0,1745.0,5.0,80.0,8600000
Mercedes-Benz,C-Class C 220d Progressive [2018-2019],2019,33000,Beige,First,4686.0,1810.0,1442.0,5.0,66.0,3900000
Volvo,V40 D3 R-Design,2016,6000,Red,First,4370.0,1783.0,1458.0,5.0,60.0,2000000
Hyundai,Santro Sportz AMT [2018-2020],2019,19000,Gold,First,3610.0,1645.0,1560.0,5.0,35.0,465000
Honda,City V,2019,58618,Grey,First,4440.0,1695.0,1495.0,5.0,40.0,875000
MINI,Cooper S,2017,10500,Black,First,3850.0,1727.0,1414.0,4.0,44.0,3200000
Mahindra,TUV300 T6 Plus,2019,85641,White,First,3995.0,1835.0,1839.0,7.0,60.0,850000
Renault,Kwid 1.0 RXT AMT Opt,2020,41669,Others,First,3679.0,1579.0,1478.0,5.0,28.0,426999
Mercedes-Benz,GLE 300d 4MATIC LWB,2022,10000,Blue,First,4924.0,2157.0,1772.0,5.0,93.0,9200000
Hyundai,Creta 1.6 SX,2018,36000,Grey,First,4270.0,1780.0,1630.0,5.0,60.0,1035000
Maruti Suzuki,DZire ZXi,2018,31000,Grey,First,3995.0,1735.0,1515.0,5.0,37.0,695000
BMW,X1 sDrive20d xLine,2020,37180,White,First,4454.0,2044.0,1545.0,5.0,63.0,3675000
Mahindra,Thar LX 4-STR Hard Top Diesel AT,2021,14000,Black,First,3985.0,1820.0,1844.0,4.0,57.0,1700000
Tata,Tiago Revotron XZ,2018,53512,Orange,Second,3746.0,1647.0,1535.0,5.0,35.0,449000
Mercedes-Benz,C-Class 220 CDI AT,2022,4600,White,UnRegistered Car,4596.0,1770.0,1447.0,5.0,66.0,5400000
MG,Gloster Sharp 6 STR 2.0 Twin Turbo 4WD,2021,40000,Silver,First,4985.0,1926.0,1867.0,6.0,75.0,3950000
Hyundai,Elite i20 Sportz 1.4,2015,65000,White,Second,3985.0,1734.0,1505.0,5.0,45.0,565000
BMW,X1 sDrive20d xLine,2019,32963,Black,First,4454.0,2044.0,1545.0,5.0,63.0,3775000
